img_path,xmin,ymin,xmax,ymax,score,img_name,tile_index,tile_xmin,tile_ymin,tile_xmax,tile_ymax,x,y,Xmin,Ymin,Xmax,Ymax,X,Y,lon,lat,is_banana
Manuel Macias RGB_8_7600_6879_11600_10879.png,2706.593017578125,216.7151031494141,2951.9814453125,480.4690856933594,0.5740706920623779,Manuel Macias RGB,8,7600,6879,11600,10879,2829.2872314453125,348.5920944213867,10306.593017578123,7095.715103149414,10551.9814453125,7359.469085693359,10429.287231445312,7227.592094421387,-79.59403190152926,-1.1296019895527938,True
Manuel Macias RGB_8_7600_6879_11600_10879.png,2346.39013671875,1115.1865234375,2692.7890625,1463.3089599609375,0.5577200055122375,Manuel Macias RGB,8,7600,6879,11600,10879,2519.589599609375,1289.2477416992188,9946.39013671875,7994.1865234375,10292.7890625,8342.308959960938,10119.589599609377,8168.247741699219,-79.59405253399639,-1.1296553524574058,True
Manuel Macias RGB_8_7600_6879_11600_10879.png,999.9932861328124,203.5570373535156,1316.873291015625,500.2311706542969,0.5548104047775269,Manuel Macias RGB,8,7600,6879,11600,10879,1158.4332885742188,351.89410400390625,8599.993286132812,7082.557037353516,8916.873291015625,7379.231170654297,8758.433288574219,7230.894104003906,-79.59414321603573,-1.1296021768740765,True
Manuel Macias RGB_8_7600_6879_11600_10879.png,1031.3006591796875,1137.7686767578125,1318.31201171875,1440.12841796875,0.5537149310112,Manuel Macias RGB,8,7600,6879,11600,10879,1174.8063354492188,1288.9485473632812,8631.300659179688,8016.768676757812,8918.31201171875,8319.12841796875,8774.806335449219,8167.948547363281,-79.59414212524162,-1.1296553354842669,True
Manuel Macias RGB_8_7600_6879_11600_10879.png,1822.682373046875,9.23806858062744,2183.701416015625,229.8109741210937,0.5501916408538818,Manuel Macias RGB,8,7600,6879,11600,10879,2003.19189453125,119.52452135086058,9422.682373046877,6888.238068580627,9783.701416015623,7108.810974121094,9603.19189453125,6998.524521350861,-79.59408693709662,-1.1295889946687605,True
Manuel Macias RGB_8_7600_6879_11600_10879.png,2422.335205078125,195.8907165527344,2726.332275390625,526.2733764648439,0.5467018485069275,Manuel Macias RGB,8,7600,6879,11600,10879,2574.333740234375,361.0820465087891,10022.335205078123,7074.890716552734,10326.332275390623,7405.273376464844,10174.333740234377,7240.082046508789,-79.5940488868691,-1.129602698101266,True
Manuel Macias RGB_8_7600_6879_11600_10879.png,1451.3741455078125,524.4461059570311,1738.822021484375,801.9437866210938,0.5297263264656067,Manuel Macias RGB,8,7600,6879,11600,10879,1595.0980834960938,663.1949462890625,9051.374145507812,7403.446105957031,9338.822021484377,7680.943786621094,9195.098083496094,7542.1949462890625,-79.59411412484775,-1.129619836808613,True
Manuel Macias RGB_8_7600_6879_11600_10879.png,429.3831176757813,5.62397050857544,803.6500244140625,261.31301879882807,0.5073729157447815,Manuel Macias RGB,8,7600,6879,11600,10879,616.5165710449219,133.46849465370175,8029.383117675781,6884.623970508575,8403.650024414062,7140.313018798828,8216.516571044922,7012.468494653703,-79.59417931924644,-1.1295897857030983,True
Manuel Macias RGB_8_7600_6879_11600_10879.png,1075.1868896484375,495.3571166992188,1347.9437255859375,748.9141235351562,0.5044962167739868,Manuel Macias RGB,8,7600,6879,11600,10879,1211.5653076171875,622.1356201171875,8675.186889648438,7374.357116699219,8947.943725585938,7627.914123535156,8811.565307617188,7501.1356201171875,-79.59413967631014,-1.129617507534439,True
Manuel Macias RGB_8_7600_6879_11600_10879.png,2000.390869140625,238.8302764892578,2223.844970703125,487.6826477050781,0.4829141795635224,Manuel Macias RGB,8,7600,6879,11600,10879,2112.117919921875,363.256462097168,9600.390869140623,7117.830276489258,9823.844970703123,7366.682647705078,9712.117919921877,7242.256462097168,-79.5940796803003,-1.1296028214547291,True
Manuel Macias RGB_8_7600_6879_11600_10879.png,3006.5419921875,447.8411865234375,3439.208251953125,887.1011352539062,0.4782688617706299,Manuel Macias RGB,8,7600,6879,11600,10879,3222.8751220703125,667.4711608886719,10606.5419921875,7326.841186523437,11039.208251953123,7766.101135253906,10822.875122070312,7546.471160888672,-79.59400568018181,-1.1296200793960385,True
Manuel Macias RGB_8_7600_6879_11600_10879.png,26.018726348876957,417.9111328125,399.10400390625,839.4552001953125,0.4674600958824158,Manuel Macias RGB,8,7600,6879,11600,10879,212.56136512756348,628.6831665039062,7626.018726348877,7296.9111328125,7999.10400390625,7718.455200195312,7812.5613651275635,7507.683166503906,-79.59420623127819,-1.1296178789733329,True
Manuel Macias RGB_8_7600_6879_11600_10879.png,2362.887451171875,6.179790019989014,2670.754150390625,203.7725830078125,0.4595336019992829,Manuel Macias RGB,8,7600,6879,11600,10879,2516.82080078125,104.97618651390076,9962.887451171877,6885.179790019989,10270.754150390623,7082.7725830078125,10116.82080078125,6983.976186513903,-79.59405271845745,-1.1295881693493075,True
Manuel Macias RGB_8_7600_6879_11600_10879.png,831.2470703125,779.6127319335938,1029.8668212890625,986.1481323242188,0.4587629437446594,Manuel Macias RGB,8,7600,6879,11600,10879,930.5569458007812,882.8804321289062,8431.2470703125,7658.612731933594,8629.866821289062,7865.148132324219,8530.556945800781,7761.880432128906,-79.59415839745998,-1.1296322994517274,True
Manuel Macias RGB_8_7600_6879_11600_10879.png,1370.1171875,1126.8719482421875,1635.7674560546875,1396.0439453125,0.454125314950943,Manuel Macias RGB,8,7600,6879,11600,10879,1502.9423217773438,1261.4579467773438,8970.1171875,8005.8719482421875,9235.767456054688,8275.0439453125,9102.942321777344,8140.457946777344,-79.59412026438686,-1.1296537759568237,True
Manuel Macias RGB_8_7600_6879_11600_10879.png,531.0800170898439,687.4432373046875,775.8991088867188,946.4343872070312,0.4499878585338593,Manuel Macias RGB,8,7600,6879,11600,10879,653.4895629882812,816.9388122558594,8131.080017089844,7566.443237304687,8375.899108886719,7825.434387207031,8253.489562988281,7695.938812255859,-79.59417685605665,-1.129628558618,True
Manuel Macias RGB_8_7600_6879_11600_10879.png,1095.989990234375,792.06787109375,1337.1529541015625,1038.5411376953125,0.4499389827251434,Manuel Macias RGB,8,7600,6879,11600,10879,1216.5714721679688,915.3045043945312,8695.989990234375,7671.06787109375,8937.152954101562,7917.541137695312,8816.571472167969,7794.304504394531,-79.5941393427928,-1.129634138852448,True
Manuel Macias RGB_8_7600_6879_11600_10879.png,271.44158935546875,3.5217714309692383,492.7911071777344,168.59205627441406,0.4405121505260468,Manuel Macias RGB,8,7600,6879,11600,10879,382.1163482666016,86.05691385269165,7871.441589355469,6882.521771430969,8092.791107177734,7047.592056274414,7982.116348266602,6965.056913852692,-79.59419493530027,-1.12958709606883,True
Manuel Macias RGB_8_7600_6879_11600_10879.png,2673.51611328125,586.2947387695312,2896.507568359375,831.2765502929688,0.4372596442699432,Manuel Macias RGB,8,7600,6879,11600,10879,2785.0118408203125,708.78564453125,10273.51611328125,7465.294738769531,10496.507568359377,7710.276550292969,10385.011840820312,7587.78564453125,-79.59403485121453,-1.129622423145163,True
Manuel Macias RGB_8_7600_6879_11600_10879.png,4.287126064300537,0.1808136701583862,132.98162841796878,298.0139465332031,0.4368380010128021,Manuel Macias RGB,8,7600,6879,11600,10879,68.63437724113466,149.09738010168076,7604.2871260643005,6879.1808136701575,7732.981628417969,7177.013946533203,7668.634377241136,7028.097380101681,-79.59421581988508,-1.1295906723216245,True
Manuel Macias RGB_8_7600_6879_11600_10879.png,389.998046875,1161.4185791015625,636.23046875,1449.1070556640625,0.3836839199066162,Manuel Macias RGB,8,7600,6879,11600,10879,513.1142578125,1305.2628173828125,7989.998046875,8040.418579101562,8236.23046875,8328.107055664062,8113.1142578125,8184.2628173828125,-79.59418620804573,-1.1296562609843024,True
Manuel Macias RGB_8_7600_6879_11600_10879.png,2789.6083984375,1014.5283203125,3042.201171875,1277.7679443359375,0.3752047717571258,Manuel Macias RGB,8,7600,6879,11600,10879,2915.90478515625,1146.1481323242188,10389.6083984375,7893.5283203125,10642.201171875,8156.7679443359375,10515.90478515625,8025.148132324219,-79.59402613095294,-1.1296472344911477,True
Manuel Macias RGB_8_7600_6879_11600_10879.png,6.235418319702148,1023.694580078125,240.99452209472656,1403.1531982421875,0.3731645047664641,Manuel Macias RGB,8,7600,6879,11600,10879,123.61497020721436,1213.4238891601562,7606.235418319702,7902.694580078125,7840.994522094727,8282.153198242188,7723.614970207214,8092.423889160156,-79.59421215700503,-1.1296510510097697,True
Manuel Macias RGB_8_7600_6879_11600_10879.png,2950.600830078125,7.250767707824707,3293.4501953125,184.7976531982422,0.3716987371444702,Manuel Macias RGB,8,7600,6879,11600,10879,3122.0255126953125,96.02421045303343,10550.600830078123,6886.250767707825,10893.4501953125,7063.797653198242,10722.025512695312,6975.024210453033,-79.5940123989166,-1.1295876615083713,True
Manuel Macias RGB_8_7600_6879_11600_10879.png,205.267822265625,287.2400817871094,417.7892150878906,514.1320190429689,0.3566415309906006,Manuel Macias RGB,8,7600,6879,11600,10879,311.5285186767578,400.6860504150391,7805.267822265625,7166.240081787109,8017.789215087891,7393.132019042969,7911.528518676758,7279.686050415039,-79.59419963795513,-1.1296049448157666,True
Manuel Macias RGB_8_7600_6879_11600_10879.png,1652.9937744140625,358.6275939941406,1878.233642578125,596.97265625,0.3433840274810791,Manuel Macias RGB,8,7600,6879,11600,10879,1765.6137084960938,477.8001251220703,9252.993774414062,7237.627593994141,9478.233642578123,7475.97265625,9365.613708496094,7356.80012512207,-79.59410276487056,-1.1296093194570338,True
Manuel Macias RGB_8_7600_6879_11600_10879.png,1355.425048828125,797.3794555664062,1542.1058349609375,993.726318359375,0.2813211679458618,Manuel Macias RGB,8,7600,6879,11600,10879,1448.7654418945312,895.5528869628906,8955.425048828125,7676.379455566406,9142.105834960938,7872.726318359375,9048.765441894531,7774.552886962891,-79.59412387372248,-1.1296330183534853,True
Manuel Macias RGB_8_7600_6879_11600_10879.png,3005.380859375,1050.49462890625,3194.294189453125,1260.9788818359375,0.2585061192512512,Manuel Macias RGB,8,7600,6879,11600,10879,3099.8375244140625,1155.7367553710938,10605.380859375,7929.49462890625,10794.294189453123,8139.9788818359375,10699.837524414062,8034.736755371094,-79.59401387710979,-1.1296477784487355,True
Manuel Macias RGB_8_7600_6879_11600_10879.png,3055.157958984375,182.49224853515625,3303.61376953125,407.1282958984375,0.2381714880466461,Manuel Macias RGB,8,7600,6879,11600,10879,3179.3858642578125,294.8102722167969,10655.157958984377,7061.492248535156,10903.61376953125,7286.128295898437,10779.385864257812,7173.810272216797,-79.59400857749388,-1.1295989385380505,True
Manuel Macias RGB_8_7600_6879_11600_10879.png,1697.779541015625,603.7618408203125,1920.895263671875,833.88037109375,0.2294745743274689,Manuel Macias RGB,8,7600,6879,11600,10879,1809.33740234375,718.8211059570312,9297.779541015623,7482.761840820312,9520.895263671877,7712.88037109375,9409.33740234375,7597.821105957031,-79.5940998519401,-1.1296229924516594,True
Manuel Macias RGB_4_3800_3800_7800_7800.png,698.4970092773438,3785.194580078125,1055.3731689453125,3992.159423828125,0.684542715549469,Manuel Macias RGB,4,3800,3800,7800,7800,876.935089111328,3888.677001953125,4498.497009277344,7585.194580078125,4855.373168945313,7792.159423828125,4676.935089111328,7688.677001953125,-79.59441513086084,-1.129628146659286,True
Manuel Macias RGB_4_3800_3800_7800_7800.png,192.21983337402344,3118.6767578125,529.7291259765625,3454.721435546875,0.646420419216156,Manuel Macias RGB,4,3800,3800,7800,7800,360.97447967529297,3286.6990966796875,3992.219833374024,6918.6767578125,4329.7291259765625,7254.721435546875,4160.974479675293,7086.699096679688,-79.59444950484121,-1.1295939967664634,True
Manuel Macias RGB_4_3800_3800_7800_7800.png,476.34417724609375,2613.888427734375,720.2350463867188,2868.156494140625,0.6438630223274231,Manuel Macias RGB,4,3800,3800,7800,7800,598.2896118164062,2741.0224609375,4276.344177246094,6413.888427734375,4520.235046386719,6668.156494140625,4398.289611816406,6541.0224609375,-79.59443369459224,-1.1295630408153177,True
Manuel Macias RGB_4_3800_3800_7800_7800.png,3412.548828125,1884.7430419921875,3725.4482421875,2188.83349609375,0.6425305604934692,Manuel Macias RGB,4,3800,3800,7800,7800,3568.99853515625,2036.7882690429688,7212.548828125,5684.743041992188,7525.4482421875,5988.83349609375,7368.99853515625,5836.788269042969,-79.59423578202242,-1.1295230899766495,True
Manuel Macias RGB_4_3800_3800_7800_7800.png,2936.219482421875,293.920166015625,3437.858154296875,840.35498046875,0.6367116570472717,Manuel Macias RGB,4,3800,3800,7800,7800,3187.038818359375,567.1375732421875,6736.219482421875,4093.920166015625,7237.858154296875,4640.35498046875,6987.038818359375,4367.137573242188,-79.59426122868551,-1.1294397174586406,True
Manuel Macias RGB_4_3800_3800_7800_7800.png,1493.018310546875,2814.377197265625,1778.8292236328125,3073.602783203125,0.6306329369544983,Manuel Macias RGB,4,3800,3800,7800,7800,1635.9237670898438,2943.989990234375,5293.018310546875,6614.377197265625,5578.8292236328125,6873.602783203125,5435.923767089844,6743.989990234375,-79.59436456602816,-1.1295745550574705,True
Manuel Macias RGB_4_3800_3800_7800_7800.png,1225.4920654296875,3746.07177734375,1481.382080078125,3994.490234375,0.6072056293487549,Manuel Macias RGB,4,3800,3800,7800,7800,1353.4370727539062,3870.281005859375,5025.492065429688,7546.07177734375,5281.382080078125,7794.490234375,5153.437072753906,7670.281005859375,-79.59438338566652,-1.1296271030640157,True
Manuel Macias RGB_4_3800_3800_7800_7800.png,2739.247314453125,1158.5767822265625,2979.88671875,1397.256591796875,0.6036914587020874,Manuel Macias RGB,4,3800,3800,7800,7800,2859.5670166015625,1277.9166870117188,6539.247314453125,4958.576782226562,6779.88671875,5197.256591796875,6659.5670166015625,5077.916687011719,-79.59428304529142,-1.1294800395873157,True
Manuel Macias RGB_4_3800_3800_7800_7800.png,3532.862548828125,2862.369384765625,3977.272216796875,3344.565673828125,0.6031892895698547,Manuel Macias RGB,4,3800,3800,7800,7800,3755.0673828125,3103.467529296875,7332.862548828125,6662.369384765625,7777.272216796875,7144.565673828125,7555.0673828125,6903.467529296875,-79.59422338586894,-1.129583602135144,True
Manuel Macias RGB_4_3800_3800_7800_7800.png,3095.22265625,981.2117919921876,3455.942626953125,1398.1453857421875,0.602216362953186,Manuel Macias RGB,4,3800,3800,7800,7800,3275.5826416015625,1189.6785888671875,6895.22265625,4781.211791992188,7255.942626953125,5198.145385742188,7075.5826416015625,4989.678588867188,-79.59425532977853,-1.1294750338859965,True
Manuel Macias RGB_4_3800_3800_7800_7800.png,1622.0943603515625,3162.15673828125,1924.302490234375,3448.02001953125,0.6020672917366028,Manuel Macias RGB,4,3800,3800,7800,7800,1773.1984252929688,3305.08837890625,5422.094360351562,6962.15673828125,5724.302490234375,7248.02001953125,5573.198425292969,7105.08837890625,-79.5943554206083,-1.12959503998086,True
Manuel Macias RGB_4_3800_3800_7800_7800.png,3625.31005859375,232.09117126464844,3937.123046875,560.295654296875,0.5910186171531677,Manuel Macias RGB,4,3800,3800,7800,7800,3781.216552734375,396.1934127807617,7425.31005859375,4032.091171264648,7737.123046875,4360.295654296875,7581.216552734375,4196.193412780762,-79.59422164377655,-1.1294300198855116,True
Manuel Macias RGB_4_3800_3800_7800_7800.png,2347.06298828125,3695.272216796875,2603.385986328125,3969.3779296875,0.5861967206001282,Manuel Macias RGB,4,3800,3800,7800,7800,2475.2244873046875,3832.325073242188,6147.06298828125,7495.272216796875,6403.385986328125,7769.3779296875,6275.224487304688,7632.3250732421875,-79.59430865070064,-1.1296249498437403,True
Manuel Macias RGB_4_3800_3800_7800_7800.png,69.94893646240234,2883.0693359375,328.4118957519531,3144.737548828125,0.5733871459960938,Manuel Macias RGB,4,3800,3800,7800,7800,199.1804161071777,3013.9034423828125,3869.948936462402,6683.0693359375,4128.411895751953,6944.737548828125,3999.1804161071777,6813.9034423828125,-79.59446028377639,-1.1295785212111729,True
Manuel Macias RGB_4_3800_3800_7800_7800.png,3335.4208984375,3.401198387145996,3689.316162109375,349.8515014648437,0.5702040791511536,Manuel Macias RGB,4,3800,3800,7800,7800,3512.368530273437,176.62634992599487,7135.4208984375,3803.401198387146,7489.316162109375,4149.851501464844,7312.368530273437,3976.626349925995,-79.59423955478846,-1.1294175639604715,True
Manuel Macias RGB_4_3800_3800_7800_7800.png,581.8636474609375,3497.824951171875,828.38232421875,3750.004150390625,0.5682790279388428,Manuel Macias RGB,4,3800,3800,7800,7800,705.1229858398438,3623.91455078125,4381.8636474609375,7297.824951171875,4628.38232421875,7550.004150390625,4505.122985839844,7423.91455078125,-79.59442657721112,-1.1296131268234222,True
Manuel Macias RGB_4_3800_3800_7800_7800.png,3093.21826171875,2782.17138671875,3425.6689453125,3124.468994140625,0.5620381236076355,Manuel Macias RGB,4,3800,3800,7800,7800,3259.443603515625,2953.3201904296875,6893.21826171875,6582.17138671875,7225.6689453125,6924.468994140625,7059.443603515625,6753.320190429688,-79.59425640498266,-1.1295750843548649,True
Manuel Macias RGB_4_3800_3800_7800_7800.png,1283.4937744140625,2280.772216796875,1623.598876953125,2691.454833984375,0.5593992471694946,Manuel Macias RGB,4,3800,3800,7800,7800,1453.5463256835938,2486.113525390625,5083.493774414063,6080.772216796875,5423.598876953125,6491.454833984375,5253.546325683594,6286.113525390625,-79.59437671625527,-1.1295485799642595,True
Manuel Macias RGB_4_3800_3800_7800_7800.png,3782.197509765625,1186.4581298828125,3999.073974609375,1498.30712890625,0.5566185712814331,Manuel Macias RGB,4,3800,3800,7800,7800,3890.6357421875,1342.3826293945312,7582.197509765625,4986.458129882813,7799.073974609375,5298.30712890625,7690.6357421875,5142.382629394531,-79.59421435412496,-1.129483696706628,True
Manuel Macias RGB_4_3800_3800_7800_7800.png,915.1478271484376,2786.103759765625,1245.3035888671875,3088.11376953125,0.5513443350791931,Manuel Macias RGB,4,3800,3800,7800,7800,1080.2257080078125,2937.108764648437,4715.147827148438,6586.103759765625,5045.303588867188,6888.11376953125,4880.225708007813,6737.1087646484375,-79.59440158737011,-1.1295741646891295,True
Manuel Macias RGB_4_3800_3800_7800_7800.png,3440.32373046875,2295.686767578125,3686.626953125,2553.709716796875,0.5365952253341675,Manuel Macias RGB,4,3800,3800,7800,7800,3563.475341796875,2424.6982421875,7240.32373046875,6095.686767578125,7486.626953125,6353.709716796875,7363.475341796875,6224.6982421875,-79.59423614998491,-1.1295450959072524,True
Manuel Macias RGB_4_3800_3800_7800_7800.png,67.94432830810547,1840.056640625,294.814208984375,2077.896728515625,0.5310921669006348,Manuel Macias RGB,4,3800,3800,7800,7800,181.37926864624023,1958.9766845703125,3867.9443283081055,5640.056640625,4094.814208984375,5877.896728515625,3981.37926864624,5758.9766845703125,-79.59446146971244,-1.1295186757660172,True
Manuel Macias RGB_4_3800_3800_7800_7800.png,5.165653228759767,2279.776611328125,143.10267639160156,2531.55029296875,0.5253286361694336,Manuel Macias RGB,4,3800,3800,7800,7800,74.13416481018065,2405.663452148437,3805.16565322876,6079.776611328125,3943.1026763916016,6331.55029296875,3874.134164810181,6205.6634521484375,-79.59446861452355,-1.1295440160735342,True
Manuel Macias RGB_4_3800_3800_7800_7800.png,3129.10791015625,1636.219970703125,3357.66259765625,1886.82568359375,0.5214892625808716,Manuel Macias RGB,4,3800,3800,7800,7800,3243.38525390625,1761.5228271484375,6929.10791015625,5436.219970703125,7157.66259765625,5686.82568359375,7043.38525390625,5561.5228271484375,-79.59425747481122,-1.129507474311596,True
Manuel Macias RGB_4_3800_3800_7800_7800.png,2617.5673828125,3772.188720703125,2862.85498046875,4000.0,0.5196410417556763,Manuel Macias RGB,4,3800,3800,7800,7800,2740.211181640625,3886.0943603515625,6417.5673828125,7572.188720703125,6662.85498046875,7800.0,6540.211181640625,7686.094360351562,-79.5942909969355,-1.1296280001473742,True
Manuel Macias RGB_4_3800_3800_7800_7800.png,1087.9832763671875,3206.65625,1358.3260498046875,3466.68212890625,0.5079043507575989,Manuel Macias RGB,4,3800,3800,7800,7800,1223.1546630859375,3336.669189453125,4887.983276367188,7006.65625,5158.326049804688,7266.68212890625,5023.154663085938,7136.669189453125,-79.5943920652535,-1.1295968315437828,True
Manuel Macias RGB_4_3800_3800_7800_7800.png,187.3746490478516,2207.368896484375,437.7007141113281,2468.771728515625,0.5074486136436462,Manuel Macias RGB,4,3800,3800,7800,7800,312.5376815795898,2338.0703125,3987.374649047852,6007.368896484375,4237.700714111328,6268.771728515625,4112.53768157959,6138.0703125,-79.59445273176496,-1.1295401815499506,True
Manuel Macias RGB_4_3800_3800_7800_7800.png,123.02161407470705,2556.750732421875,408.8388366699219,2859.55810546875,0.5021204948425293,Manuel Macias RGB,4,3800,3800,7800,7800,265.93022537231445,2708.1544189453125,3923.021614074707,6356.750732421875,4208.838836669922,6659.55810546875,4065.9302253723145,6508.1544189453125,-79.59445583681553,-1.129561176228426,True
Manuel Macias RGB_4_3800_3800_7800_7800.png,1935.224853515625,3478.951171875,2178.6923828125,3730.597412109375,0.4951198399066925,Manuel Macias RGB,4,3800,3800,7800,7800,2056.9586181640625,3604.774291992188,5735.224853515625,7278.951171875,5978.6923828125,7530.597412109375,5856.958618164063,7404.7742919921875,-79.59433651612777,-1.1296120410065171,True
Manuel Macias RGB_4_3800_3800_7800_7800.png,2129.762939453125,2708.781494140625,2429.34326171875,3023.27978515625,0.47541743516922,Manuel Macias RGB,4,3800,3800,7800,7800,2279.553100585937,2866.030639648437,5929.762939453125,6508.781494140625,6229.34326171875,6823.27978515625,6079.5531005859375,6666.0306396484375,-79.59432168658803,-1.1295701324641434,True
Manuel Macias RGB_4_3800_3800_7800_7800.png,3663.764404296875,566.6162109375,3989.693603515625,950.9935913085938,0.4743940830230713,Manuel Macias RGB,4,3800,3800,7800,7800,3826.72900390625,758.8049011230469,7463.764404296875,4366.6162109375,7789.693603515625,4750.993591308594,7626.72900390625,4558.804901123047,-79.59421861167665,-1.1294505906462566,True
Manuel Macias RGB_4_3800_3800_7800_7800.png,2815.8984375,3208.704833984375,3095.343994140625,3492.57470703125,0.4612737894058228,Manuel Macias RGB,4,3800,3800,7800,7800,2955.6212158203125,3350.6397705078125,6615.8984375,7008.704833984375,6895.343994140625,7292.57470703125,6755.6212158203125,7150.6397705078125,-79.59427664603322,-1.1295976240875647,True
Manuel Macias RGB_4_3800_3800_7800_7800.png,3622.09765625,3433.41162109375,3976.6142578125,3871.8466796875,0.4461326003074646,Manuel Macias RGB,4,3800,3800,7800,7800,3799.35595703125,3652.629150390625,7422.09765625,7233.41162109375,7776.6142578125,7671.8466796875,7599.35595703125,7452.629150390625,-79.59422043530535,-1.1296147557876923,True
Manuel Macias RGB_4_3800_3800_7800_7800.png,566.3363037109375,3127.269775390625,796.5467529296875,3379.0,0.4299659729003906,Manuel Macias RGB,4,3800,3800,7800,7800,681.4415283203125,3253.1348876953125,4366.3363037109375,6927.269775390625,4596.546752929688,7179.0,4481.441528320313,7053.1348876953125,-79.59442815490125,-1.129592092686381,True
Manuel Macias RGB_4_3800_3800_7800_7800.png,1680.9603271484375,3525.785400390625,1873.59765625,3725.862060546875,0.429059624671936,Manuel Macias RGB,4,3800,3800,7800,7800,1777.2789916992188,3625.82373046875,5480.960327148438,7325.785400390625,5673.59765625,7525.862060546875,5577.278991699219,7425.82373046875,-79.59435514875555,-1.1296132351301909,True
Manuel Macias RGB_4_3800_3800_7800_7800.png,1546.369140625,3701.798095703125,1807.252685546875,3965.749267578125,0.4208120405673981,Manuel Macias RGB,4,3800,3800,7800,7800,1676.8109130859375,3833.773681640625,5346.369140625,7501.798095703125,5607.252685546875,7765.749267578125,5476.810913085938,7633.773681640625,-79.59436184207225,-1.1296250320225398,True
Manuel Macias RGB_4_3800_3800_7800_7800.png,1931.828125,3787.214111328125,2320.3046875,3994.681396484375,0.4166052937507629,Manuel Macias RGB,4,3800,3800,7800,7800,2126.06640625,3890.94775390625,5731.828125,7587.214111328125,6120.3046875,7794.681396484375,5926.06640625,7690.94775390625,-79.59433191207525,-1.1296282754778608,True
