,name,group,lat,lon,diameter,updated_diameter,height,year,plot_id,site,x,y,AGB,carbon,Xmin,Ymin,Xmax,Ymax,score,label
11,Cacao,cacao,-2.18142374,-79.57605575,0.0,6.843646549530001,0.0,2016.0,P8,Nestor Macias RGB,8840.415386370853,8883.207244389954,5.444228267440376,2.1232490243017463,10268,10211,10351,10279,1,TreeLabel.BANANA
12,Cacao,cacao,-2.18134149,-79.57613521,0.0,6.843646549530001,0.0,2016.0,P8,Nestor Macias RGB,7999.487799017503,8031.042693441927,5.444228267440376,2.1232490243017463,8641,9062,8766,9278,0,TreeLabel.NOT_BANANA
13,Cacao,cacao,-2.18121117,-79.57625939,0.0,6.843646549530001,0.0,2016.0,P8,Nestor Macias RGB,6685.287096956778,6680.84106086881,5.444228267440376,2.1232490243017463,6181,6408,6453,6634,0,TreeLabel.NOT_BANANA
14,Cacao,cacao,-2.18109182,-79.57644482,5.18843901197,5.18843901197,2.0,2016.0,P8,Nestor Macias RGB,4722.875789297237,5444.2959039607795,3.146586189875023,1.227168614051259,3157,3325,3427,3477,1,TreeLabel.BANANA
15,Cacao,cacao,-2.18132966,-79.57593259999999,0.0,6.843646549530001,0.0,2016.0,P8,Nestor Macias RGB,10143.715567152769,7908.476047390462,5.444228267440376,2.1232490243017463,11975,9050,12049,9157,1,TreeLabel.BANANA
16,Cacao,cacao,-2.18118147,-79.57609707,7.027643045439999,7.027643045439999,2.0,2016.0,P8,Nestor Macias RGB,8403.124574486079,6373.1293628346375,5.73786239730193,2.237766334947753,8247,5559,8399,5718,0,TreeLabel.NOT_BANANA
17,Cacao,cacao,-2.18105584,-79.57613505,7.499136400619999,7.499136400619999,2.0,2016.0,P8,Nestor Macias RGB,8001.181083854444,5071.519240825266,6.525130701104692,2.54480097343083,8073,3558,8463,3877,0,TreeLabel.NOT_BANANA
18,Cacao,cacao,-2.18103656,-79.57613349,6.9891874061399974,6.9891874061399974,2.2,2016.0,P8,Nestor Macias RGB,8017.690611127418,4871.765653684845,5.675861271205517,2.2135858957701515,7947,2454,8239,2738,1,TreeLabel.BANANA
19,Guaba,fruit,-2.18107326,-79.57620481,14.960529666400001,14.960529666400001,0.0,2016.0,P8,Nestor Macias RGB,7262.908890586626,5252.001994349074,98.14315157367777,38.275829113734325,6314,2950,6660,3260,0,TreeLabel.NOT_BANANA
20,Guaba,fruit,-2.18115753,-79.57587031,6.270690094219999,6.270690094219999,0.0,2016.0,P8,Nestor Macias RGB,10802.932524266907,6125.0950850301815,9.883539267197694,3.8545803142071016,13242,4614,13381,4799,0,TreeLabel.NOT_BANANA
21,Cacao,cacao,-2.18110262,-79.57593161,0.0,6.843646549530001,0.0,2016.0,P8,Nestor Macias RGB,10154.19276718474,5556.191066882298,5.444228267440376,2.1232490243017463,11715,3366,11941,3556,1,TreeLabel.BANANA
22,Cacao,cacao,-2.18096583,-79.57605325,6.01301050093,6.01301050093,2.0,2016.0,P8,Nestor Macias RGB,8866.872962042056,4138.955943187052,4.213752465205045,1.6433634614299677,10669,1066,10808,1254,0,TreeLabel.NOT_BANANA
23,Cacao,cacao,-2.1809332,-79.57615247,0.0,6.843646549530001,0.0,2016.0,P8,Nestor Macias RGB,7816.824696198505,3800.887501884101,5.444228267440376,2.1232490243017463,7978,705,8084,810,0,TreeLabel.NOT_BANANA
24,Cacao,cacao,-2.18091683,-79.57622932,0.0,6.843646549530001,0.0,2016.0,P8,Nestor Macias RGB,7003.51881802035,3631.2834447536516,5.444228267440376,2.1232490243017463,6032,981,6173,1123,0,TreeLabel.NOT_BANANA
25,Otra variedad,other,-2.18108113,-79.57594185,11.777438248,11.777438248,0.0,2016.0,P8,Nestor Macias RGB,10045.822536868527,5333.5404139972115,35.2327066598089,13.740755597325473,11475,3071,11685,3272,1,TreeLabel.BANANA
26,Musacea,banana,-2.18115496,-79.57586025,10.3450471098,10.3450471098,0.0,2016.0,P8,Nestor Macias RGB,10909.397808972366,6098.4681805211585,4.350121845877161,1.6965475198920927,13231,5039,13520,5323,1,TreeLabel.BANANA
27,Musacea,banana,-2.18085237,-79.57623722,11.0134963076,11.0134963076,0.0,2016.0,P8,Nestor Macias RGB,6919.912878688794,2963.435092730097,4.9707503658320995,1.9385926426745188,6235,356,6355,445,1,TreeLabel.BANANA
28,Musacea,banana,-2.18107918,-79.57602371,16.2337662338,16.2337662338,0.0,2016.0,P8,Nestor Macias RGB,9179.495676961062,5313.33712069066,11.3583262202115,4.429747225882486,10202,2635,10451,2876,1,TreeLabel.BANANA
29,Sapote,fruit,-2.18125341,-79.57589527,13.2416603005,13.2416603005,0.0,2016.0,P8,Nestor Macias RGB,10538.780088049736,7118.475475846859,71.1095692429702,27.732732004758375,12920,7513,13232,7794,1,TreeLabel.BANANA
30,Musacea,banana,-2.18111405,-79.57603169,16.3292589763,16.3292589763,0.0,2016.0,P8,Nestor Macias RGB,9095.043095286232,5674.613447642591,11.501112468641816,4.485433862770309,9758,4002,9996,4258,1,TreeLabel.BANANA
31,Naranja,citrus,-2.18100834,-79.57615964,5.411255411259999,5.411255411259999,0.0,2016.0,P8,Nestor Macias RGB,7740.944368944893,4579.38773723952,6.6974087843349634,2.611989425890636,7648,2019,7864,2238,1,TreeLabel.BANANA
32,Musacea,banana,-2.1811375,-79.57602364,9.32645785587,9.32645785587,0.0,2016.0,P8,Nestor Macias RGB,9180.236489067824,5917.571000465931,3.488332659594416,1.3604497372418225,10088,4593,10401,4791,1,TreeLabel.BANANA
33,Musacea,banana,-2.18129922,-79.5759152,20.8492487904,20.8492487904,0.0,2016.0,P8,Nestor Macias RGB,10327.860294335693,7593.097458568767,19.3545835768867,7.548287594985813,12348,8477,12623,8751,1,TreeLabel.BANANA
34,Musacea,banana,-2.18116278,-79.57621221,7.63941940413,7.63941940413,0.0,2016.0,P8,Nestor Macias RGB,7184.5944663893115,6179.488567006176,2.2805510984426856,0.8894149283926474,6540,5019,6852,5350,1,TreeLabel.BANANA
35,Otra variedad,other,-2.18102093,-79.57634918,10.981665393399998,10.981665393399998,0.0,2016.0,P8,Nestor Macias RGB,5735.03680685783,4709.828487346518,30.158200468434227,11.761698182689349,4526,2180,4746,2410,1,TreeLabel.BANANA
36,Musacea,banana,-2.18115504,-79.57623397,12.0320855615,12.0320855615,0.0,2016.0,P8,Nestor Macias RGB,6954.3077270613585,6099.297033579394,6.001328452993303,2.3405180966673886,6069,4950,6374,5308,1,TreeLabel.BANANA
37,Musacea,banana,-2.18133388,-79.57608243,14.7695441813,14.7695441813,0.0,2016.0,P8,Nestor Macias RGB,8558.060138043766,7952.198046236505,9.2869511535688,3.621910949891833,9492,9031,9573,9118,1,TreeLabel.BANANA
38,Musacea,banana,-2.18130843,-79.57618336,16.2974280621,16.2974280621,0.0,2016.0,P8,Nestor Macias RGB,7489.9148903268115,7688.519166948091,11.45341190077255,4.4668306413012955,7742,7752,8064,7969,1,TreeLabel.BANANA
39,Musacea,banana,-2.18115729,-79.57637783,14.8013750955,14.8013750955,0.0,2016.0,P8,Nestor Macias RGB,5431.832988853709,6122.6085258508765,9.329634979526624,3.638557642015383,3941,4855,4249,5144,1,TreeLabel.BANANA
40,Musacea,banana,-2.18114858,-79.57641265,10.3068500127,10.3068500127,0.0,2016.0,P8,Nestor Macias RGB,5063.3318740148525,6032.367149088972,4.315981170752654,1.6832326565935347,3340,4225,3793,4582,1,TreeLabel.BANANA
41,Musacea,banana,-2.18138063,-79.57620637,11.6819455055,11.6819455055,0.0,2016.0,P8,Nestor Macias RGB,7246.399363313652,8436.559052398425,5.635449723356564,2.19782539210906,7623,9453,7807,9622,1,TreeLabel.BANANA
42,Musacea,banana,-2.18142881,-79.57617764,9.70842882608,9.70842882608,0.0,2016.0,P8,Nestor Macias RGB,7550.449823661047,8935.735806981467,3.7996931028289582,1.4818803101032936,7688,10016,8083,10374,1,TreeLabel.BANANA
43,Musacea,banana,-2.18142572,-79.57633013,9.13547237077,9.13547237077,0.0,2016.0,P8,Nestor Macias RGB,5936.643533893503,8903.72135759162,3.3379382849959334,1.301795931148414,4894,10406,5165,10798,1,TreeLabel.BANANA
44,Musacea,banana,-2.18133556,-79.57644663,15.5653170359,15.5653170359,0.0,2016.0,P8,Nestor Macias RGB,4703.720504457144,7969.603960468639,10.385268581749573,4.050254746882334,2439,8220,2705,8571,1,TreeLabel.BANANA
45,Musacea,banana,-2.18150529,-79.57634647,14.865036923900002,14.865036923900002,0.0,2016.0,P8,Nestor Macias RGB,5763.716818849319,9728.119331072672,9.41531421781965,3.6719725449496634,4986,11512,5237,11860,1,TreeLabel.BANANA
46,Cacao,cacao,-2.18139711,-79.57645709,0.0,6.843646549530001,0.0,2016.0,P8,Nestor Macias RGB,4593.0220075841335,8607.302782482222,5.444228267440376,2.1232490243017463,2570,9124,3042,9679,0,TreeLabel.NOT_BANANA
47,Cacao,cacao,-2.18138736,-79.57648541,0.0,6.843646549530001,0.0,2016.0,P8,Nestor Macias RGB,4293.310589640802,8506.286315958663,5.444228267440376,2.1232490243017463,1548,8993,1867,9238,1,TreeLabel.BANANA
48,Cacao,cacao,-2.18148827,-79.57644077,0.0,6.843646549530001,0.0,2016.0,P8,Nestor Macias RGB,4765.737062004901,9551.78084284004,5.444228267440376,2.1232490243017463,3532,10962,3811,11268,1,TreeLabel.BANANA
49,Cacao,cacao,-2.18155423,-79.57634562,0.0,6.843646549530001,0.0,2016.0,P8,Nestor Macias RGB,5772.712394667765,10235.17018971585,5.444228267440376,2.1232490243017463,5037,11916,5344,12275,1,TreeLabel.BANANA
50,Guaba,fruit,-2.18138798,-79.57628338,6.0478736949300025,6.0478736949300025,0.0,2016.0,P8,Nestor Macias RGB,6431.40020014816,8512.709927161135,8.983201916971357,3.5034487476188283,6260,8893,6376,9095,0,TreeLabel.NOT_BANANA
51,Guaba,fruit,-2.18127593,-79.57633972,14.005602240899998,14.005602240899998,0.0,2016.0,P8,Nestor Macias RGB,5835.152273311963,7351.797611861894,82.45874504579288,32.15891056785922,5410,7408,5759,7636,0,TreeLabel.NOT_BANANA
52,Cacao,cacao,-2.18135225,-79.57649849,0.0,6.843646549530001,0.0,2016.0,P8,Nestor Macias RGB,4154.884553356088,8142.523429836629,5.444228267440376,2.1232490243017463,1406,8861,1565,9075,1,TreeLabel.BANANA
53,Guaba,fruit,-2.18123851,-79.57639722,18.4619302266,18.4619302266,0.0,2016.0,P8,Nestor Macias RGB,5226.628031370341,6964.101593668952,170.99033296058462,66.68622985462801,3869,6290,4072,6451,0,TreeLabel.NOT_BANANA
54,Cacao,cacao,-2.18134528,-79.57615244,0.0,6.843646549530001,0.0,2016.0,P8,Nestor Macias RGB,7817.142187058434,8070.309607097085,5.444228267440376,2.1232490243017463,8222,8744,8446,8993,0,TreeLabel.NOT_BANANA
55,Cacao,cacao,-2.18141021,-79.57596998,0.0,6.843646549530001,0.0,2016.0,P8,Nestor Macias RGB,9748.12189477246,8743.027470842944,5.444228267440376,2.1232490243017463,11411,9921,11480,10025,1,TreeLabel.BANANA
56,Cacao,cacao,-2.18118726,-79.57621335,0.0,6.843646549530001,0.0,2016.0,P8,Nestor Macias RGB,7172.529811756912,6433.117602959466,5.444228267440376,2.1232490243017463,6929,6197,7064,6397,0,TreeLabel.NOT_BANANA
57,Cacao,cacao,-2.18109429,-79.57634706,0.0,6.843646549530001,0.0,2016.0,P8,Nestor Macias RGB,5757.4728309849,5469.88674214816,5.444228267440376,2.1232490243017463,5126,4031,5400,4279,0,TreeLabel.NOT_BANANA
58,Cacao,cacao,-2.18133794,-79.57598632,0.0,6.843646549530001,0.0,2016.0,P8,Nestor Macias RGB,9575.195179728276,7994.262338966079,5.444228267440376,2.1232490243017463,11411,9078,11476,9139,1,TreeLabel.BANANA
59,Guaba,fruit,-2.18126679,-79.57607363,10.8225108225,10.8225108225,0.0,2016.0,P8,Nestor Macias RGB,8651.190804677111,7257.101149909103,41.74706960188347,16.281357144734553,9223,7466,9391,7611,0,TreeLabel.NOT_BANANA
60,Guaba,fruit,-2.18120374,-79.5760628,7.512095747389997,7.512095747389997,0.0,2016.0,P8,Nestor Macias RGB,8765.805022707349,6603.861333043265,15.922429800607045,6.209747622236747,9315,6302,9611,6639,0,TreeLabel.NOT_BANANA
61,Cacao,cacao,-2.18111534,-79.57623926,0.0,6.843646549530001,0.0,2016.0,P8,Nestor Macias RGB,6898.323496904997,5687.978703210654,5.444228267440376,2.1232490243017463,5671,4049,6331,4681,0,TreeLabel.NOT_BANANA
62,Guaba,fruit,-2.18105365,-79.57630723,5.72956455309,5.72956455309,0.0,2016.0,P8,Nestor Macias RGB,6178.994927703461,5048.82938834401,7.78827124524284,3.037425785644708,5250,2932,5532,3135,0,TreeLabel.NOT_BANANA
63,Guaba,fruit,-2.18121041,-79.57594538,12.0957473899,12.0957473899,0.0,2016.0,P8,Nestor Macias RGB,10008.464440068916,6672.9669568086765,55.99514196562788,21.838105366594878,11702,7090,11983,7327,1,TreeLabel.BANANA
64,Cacao,cacao,-2.18118899,-79.575939,0.0,6.843646549530001,0.0,2016.0,P8,Nestor Macias RGB,10075.984173223938,6451.041550350122,5.444228267440376,2.1232490243017463,12054,6034,12235,6235,1,TreeLabel.BANANA
65,Cacao,cacao,-2.18108942,-79.57603722,0.0,6.843646549530001,0.0,2016.0,P8,Nestor Macias RGB,9036.518937648869,5419.430312204533,5.444228267440376,2.1232490243017463,9956,3156,10136,3352,0,TreeLabel.NOT_BANANA
66,Guaba,fruit,-2.18099191,-79.57610491,8.40336134454,8.40336134454,0.0,2016.0,P8,Nestor Macias RGB,8320.153617024775,4409.162040314243,21.40701049222865,8.348734091969172,9350,1565,9586,1853,1,TreeLabel.BANANA
67,Guaba,fruit,-2.18098137,-79.57620142,0.0,6.843646549530001,0.0,2016.0,P8,Nestor Macias RGB,7298.785363172715,4299.9606498354415,12.449708679826061,4.855386385132165,6668,1731,6911,1888,0,TreeLabel.NOT_BANANA
68,Cacao,cacao,-2.18105207,-79.57591269,0.0,6.843646549530001,0.0,2016.0,P8,Nestor Macias RGB,10354.423700393796,5032.459540433521,5.444228267440376,2.1232490243017463,12171,2652,12466,2976,1,TreeLabel.BANANA
69,Musacea,banana,-2.18117273,-79.57584663,15.1196842373,15.1196842373,0.0,2016.0,P8,Nestor Macias RGB,11053.538681638154,6282.577166177621,9.762189892340981,3.807254058012982,13452,5855,13734,6155,1,TreeLabel.BANANA
70,Musacea,banana,-2.18089176,-79.57607819,9.54927425516,9.54927425516,0.0,2016.0,P8,Nestor Macias RGB,8602.932186448299,3371.541617493002,3.6682433193737203,1.4306148945557509,9178,249,9399,347,1,TreeLabel.BANANA
71,Musacea,banana,-2.18097733,-79.57607065,13.368983957200001,13.368983957200001,0.0,2016.0,P8,Nestor Macias RGB,8682.72823485914,4258.103570373875,7.511226378917903,2.9293782877779817,9731,1657,9941,1890,1,TreeLabel.BANANA
72,Musacea,banana,-2.18120653,-79.57583118,17.5070028011,17.5070028011,0.0,2016.0,P8,Nestor Macias RGB,11217.046499767452,6632.767583463583,13.340201555786402,5.202678606756697,13751,6928,14052,7161,1,TreeLabel.BANANA
73,Roble,timber,-2.18102378,-79.57614239,17.825311943,17.825311943,0.0,2016.0,P8,Nestor Macias RGB,7923.501641527381,4739.356377561663,132.5429739364412,51.69175983521207,8078,2297,8182,2423,1,TreeLabel.BANANA
74,Musacea,banana,-2.18108956,-79.57613699,19.0985485103,19.0985485103,0.0,2016.0,P8,Nestor Macias RGB,7980.650005187732,5420.880805057594,16.056542236293982,6.262051472154652,7976,3930,8327,4231,1,TreeLabel.BANANA
75,Musacea,banana,-2.18120175,-79.57605179,17.825311943,17.825311943,0.0,2016.0,P8,Nestor Macias RGB,8882.324186348338,6583.243613209897,13.862142540006113,5.4062355906023845,9315,6168,9668,6402,1,TreeLabel.BANANA
76,Musacea,banana,-2.18128193,-79.57597691,8.91265597148,8.91265597148,0.0,2016.0,P8,Nestor Macias RGB,9674.78149484946,7413.9615912617155,3.1669154551399763,1.2350970275045907,11226,8328,11345,8427,1,TreeLabel.BANANA
77,Musacea,banana,-2.18114594,-79.57616395,11.459129106199999,11.459129106199999,0.0,2016.0,P8,Nestor Macias RGB,7695.331508433597,6005.0149981534205,5.408965225567181,2.1094964379712007,7893,5263,8133,5475,1,TreeLabel.BANANA
78,Musacea,banana,-2.18102265,-79.57631163,11.1408199643,11.1408199643,0.0,2016.0,P8,Nestor Macias RGB,6132.429594311589,4727.64882811007,5.093951400241334,1.9866410460941204,5223,2097,5439,2286,1,TreeLabel.BANANA
79,Musacea,banana,-2.18119564,-79.57614696,8.91265597148,8.91265597148,0.0,2016.0,P8,Nestor Macias RGB,7875.137193062058,6519.939960852126,3.1669154551399763,1.2350970275045907,8020,5909,8250,6084,1,TreeLabel.BANANA
80,Musacea,banana,-2.18149219,-79.57616606,11.1408199643,11.1408199643,0.0,2016.0,P8,Nestor Macias RGB,7673.001314392644,9592.39464271655,5.093951400241334,1.9866410460941204,8121,11154,8244,11285,1,TreeLabel.BANANA
81,Musacea,banana,-2.18134618,-79.57617867,14.005602240899998,14.005602240899998,0.0,2016.0,P8,Nestor Macias RGB,7539.549302382243,8079.634204005678,8.293618678699097,3.234511284692648,7790,8640,7954,8780,1,TreeLabel.BANANA
82,Musacea,banana,-2.18121783,-79.57633963,16.8703845174,16.8703845174,0.0,2016.0,P8,Nestor Macias RGB,5836.104746042142,6749.843078002518,12.32813736923837,4.807973574002964,4796,5937,5123,6174,1,TreeLabel.BANANA
83,Musacea,banana,-2.18129014,-79.57632317,11.1408199643,11.1408199643,0.0,2016.0,P8,Nestor Macias RGB,6010.301424826827,7499.022636410802,5.093951400241334,1.9866410460941204,5141,7282,5423,7527,1,TreeLabel.BANANA
84,Musacea,banana,-2.18153059,-79.57608513,18.4619302266,18.4619302266,0.0,2016.0,P8,Nestor Macias RGB,8529.485956288787,9990.244110876325,14.937966770230524,5.825807040389904,9847,11459,9950,11640,1,TreeLabel.BANANA
85,Musacea,banana,-2.18139859,-79.57632879,13.050674815399999,13.050674815399999,0.0,2016.0,P8,Nestor Macias RGB,5950.824794459283,8622.63656407107,7.1354189517771776,2.7828133911930992,5385,9551,5654,9794,1,TreeLabel.BANANA
86,Musacea,banana,-2.18129918,-79.5764499,11.1408199643,11.1408199643,0.0,2016.0,P8,Nestor Macias RGB,4669.113995461163,7592.683032037347,5.093951400241334,1.9866410460941204,3169,7541,3524,7898,1,TreeLabel.BANANA
87,Musacea,banana,-2.18138834,-79.57642048,12.4140565317,12.4140565317,0.0,2016.0,P8,Nestor Macias RGB,4980.466746790061,8516.439765925492,6.41442122085557,2.5016242761336724,3138,9639,3480,10166,1,TreeLabel.BANANA
88,Cacao,cacao,-2.18123395,-79.57662532,0.0,6.843646549530001,0.0,2016.0,P8,Nestor Macias RGB,2812.6388210237324,6916.85696932656,5.444228267440376,2.1232490243017463,410,6824,754,7118,1,TreeLabel.BANANA
89,Cacao,cacao,-2.18129219,-79.57640166,0.0,6.843646549530001,0.0,2016.0,P8,Nestor Macias RGB,5179.639376882032,7520.261996038997,5.444228267440376,2.1232490243017463,3737,7511,3889,7666,1,TreeLabel.BANANA
90,Cacao,cacao,-2.18147113,-79.57631077,0.0,6.843646549530001,0.0,2016.0,P8,Nestor Macias RGB,6141.531000366549,9374.199075017752,5.444228267440376,2.1232490243017463,5662,11292,5797,11399,0,TreeLabel.NOT_BANANA
91,Cacao,cacao,-2.18155356,-79.57618069,0.0,6.843646549530001,0.0,2016.0,P8,Nestor Macias RGB,7518.171581221864,10228.228545345655,5.444228267440376,2.1232490243017463,7358,12157,7696,12552,1,TreeLabel.BANANA
92,Guaba,fruit,-2.18150601,-79.57618175,4.77463712758,4.77463712758,0.0,2016.0,P8,Nestor Macias RGB,7506.953569083131,9735.579008601388,4.81285279791103,1.8770125911853013,7647,11343,7856,11630,1,TreeLabel.BANANA
93,Cacao,cacao,-2.18147599,-79.57624496,0.0,6.843646549530001,0.0,2016.0,P8,Nestor Macias RGB,6838.000224194181,9424.551898334275,5.444228267440376,2.1232490243017463,6562,11248,6747,11384,0,TreeLabel.NOT_BANANA
94,Cacao,cacao,-2.18135905,-79.57636373,0.0,6.843646549530001,0.0,2016.0,P8,Nestor Macias RGB,5581.053716030321,8212.9759398234,5.444228267440376,2.1232490243017463,4431,8469,4610,8697,0,TreeLabel.NOT_BANANA
95,Guaba,fruit,-2.18126047,-79.57641315,11.1089890502,11.1089890502,0.0,2016.0,P8,Nestor Macias RGB,5058.040358880612,7191.621758271742,44.72813418719793,17.443972333007192,3990,6893,4203,7073,0,TreeLabel.NOT_BANANA
96,Cacao,cacao,-2.18125594,-79.57658642,0.0,6.843646549530001,0.0,2016.0,P8,Nestor Macias RGB,3224.3186995805754,7144.687953824463,5.444228267440376,2.1232490243017463,600,7299,1037,7738,1,TreeLabel.BANANA
97,Cacao,cacao,-2.18120936,-79.57635079999999,0.0,6.843646549530001,0.0,2016.0,P8,Nestor Macias RGB,5717.892297714606,6662.0882604153185,5.444228267440376,2.1232490243017463,4371,5837,4649,6056,0,TreeLabel.NOT_BANANA
98,Cacao,cacao,-2.18133313,-79.57620783,0.0,6.843646549530001,0.0,2016.0,P8,Nestor Macias RGB,7230.948139007371,7944.42754881268,5.444228267440376,2.1232490243017463,6855,8066,7023,8220,0,TreeLabel.NOT_BANANA
99,Cacao,cacao,-2.18145868,-79.57606198,0.0,6.843646549530001,0.0,2016.0,P8,Nestor Macias RGB,8774.483107515473,9245.208817763814,5.444228267440376,2.1232490243017463,9972,10748,10077,10848,1,TreeLabel.BANANA
100,Guaba,fruit,-2.18134048,-79.57617669,12.764196587699999,12.764196587699999,0.0,2016.0,P8,Nestor Macias RGB,7560.503702446183,8020.578423575388,64.53908422448562,25.170242847549392,7891,8456,7988,8556,0,TreeLabel.NOT_BANANA
101,Variedad bifurcada,other,-2.18122308,-79.57628763,10.515240243300001,10.515240243300001,0.0,2016.0,P8,Nestor Macias RGB,6386.422321507115,6804.236559978512,27.384453640711524,10.679936919877496,5743,6312,5984,6547,1,TreeLabel.BANANA
102,Guaba,fruit,-2.18125298,-79.57613877,21.772345301799998,21.772345301799998,0.0,2016.0,P8,Nestor Macias RGB,7961.812211207567,7114.02039065597,264.2833258620465,103.07049708619816,7957,7096,8161,7302,0,TreeLabel.NOT_BANANA
103,Cacao,cacao,-2.18134197,-79.57599718,0.0,6.843646549530001,0.0,2016.0,P8,Nestor Macias RGB,9460.263470687718,8036.015811795939,5.444228267440376,2.1232490243017463,10980,9469,11065,9564,1,TreeLabel.BANANA
104,Cacao,cacao,-2.18112476,-79.57606157,0.0,6.843646549530001,0.0,2016.0,P8,Nestor Macias RGB,8778.822150069927,5785.576150869568,5.444228267440376,2.1232490243017463,9275,4296,9519,4489,0,TreeLabel.NOT_BANANA
105,Cacao,cacao,-2.1811199,-79.57613535,0.0,6.843646549530001,0.0,2016.0,P8,Nestor Macias RGB,7998.00617480398,5735.223327557646,5.444228267440376,2.1232490243017463,7911,4530,8226,4844,0,TreeLabel.NOT_BANANA
106,Cacao,cacao,-2.18103315,-79.57622857,0.0,6.843646549530001,0.0,2016.0,P8,Nestor Macias RGB,7011.45609072171,4836.435792062057,5.444228267440376,2.1232490243017463,6111,2169,6393,2448,0,TreeLabel.NOT_BANANA
107,Guaba,fruit,-2.18122058,-79.57604735,14.896867838,14.896867838,0.0,2016.0,P8,Nestor Macias RGB,8929.312840836648,6778.334901896021,97.04445091422629,37.847335856548256,9397,6681,9685,6939,0,TreeLabel.NOT_BANANA
108,Cacao,cacao,-2.18115309,-79.57586511,6.89460834272,6.89460834272,0.0,2016.0,P8,Nestor Macias RGB,10857.964281843484,6079.0937402728405,5.524792142774822,2.1546689356821798,13309,4312,13495,4467,0,TreeLabel.NOT_BANANA
109,Cacao,cacao,-2.1811035,-79.57594012,0.0,6.843646549530001,0.0,2016.0,P8,Nestor Macias RGB,10064.13117936535,5565.308450527483,5.444228267440376,2.1232490243017463,11414,3409,11703,3659,1,TreeLabel.BANANA
110,Guaba,fruit,-2.18100231,-79.57603279,6.87547746371,6.87547746371,0.0,2016.0,P8,Nestor Macias RGB,9083.401761900666,4516.912937944587,12.60316314183106,4.915233625314113,10162,1542,10497,1825,1,TreeLabel.BANANA
111,Cacao,cacao,-2.18091935,-79.57614142,0.0,6.843646549530001,0.0,2016.0,P8,Nestor Macias RGB,7933.767180935933,3657.392316099552,5.444228267440376,2.1232490243017463,8079,518,8361,741,0,TreeLabel.NOT_BANANA
112,Cacao,cacao,-2.18093814,-79.57621985,0.0,6.843646549530001,0.0,2016.0,P8,Nestor Macias RGB,7103.740114861388,3852.069178254257,5.444228267440376,2.1232490243017463,6307,1241,6496,1360,0,TreeLabel.NOT_BANANA
113,Musacea,banana,-2.18108293,-79.57592736,13.2734912147,13.2734912147,0.0,2016.0,P8,Nestor Macias RGB,10199.170645976179,5352.1896078189975,7.397409484944715,2.8849896991284387,11856,3030,12101,3259,1,TreeLabel.BANANA
